feature,variance,variance_rank,logreg_importance,logreg_rank,rf_importance,rf_rank,avg_rank
LOC_Os04g28330,1.6917766017813323,233,0.0045348259265404105,485,0.0008318752377329781,217,311.6666666666667
LOC_Os10g38720,1.2995919116003911,498,0.025090861445476093,145,0.0,294,312.3333333333333
LOC_Os03g24200,1.3224928282041288,475,0.022927522914057627,175,0.0,290,313.3333333333333
LOC_Os04g58090,1.4178281248111124,371,0.011723798286163887,393,0.0010560625814863098,179,314.3333333333333
LOC_Os06g39530,1.3358495068620877,461,0.021965260299102774,201,0.0,282,314.6666666666667
LOC_Os12g10070,1.4425411494627787,353,0.013591336462954138,356,0.0,235,314.6666666666667
LOC_Os07g32570,1.5243926601272428,315,0.009271782936272665,423,0.0009729729729729729,208,315.3333333333333
LOC_Os03g62230,1.898252011177379,182,0.013722700725417536,354,0.0,410,315.3333333333333
LOC_Os12g18560,1.3832057534100914,409,0.02099070855692683,217,0.0,322,316.0
LOC_Os11g36140,1.5383806419058432,308,0.02140082726013069,211,0.0,430,316.3333333333333
LOC_Os08g42590,1.6217509170010709,264,0.020746231074008192,221,0.0,465,316.6666666666667
LOC_Os06g08610,1.3900803026437953,403,0.014735235497115839,334,0.0009460227272727269,213,316.6666666666667
LOC_Os06g03520,1.8235684199158497,195,0.011613077994833914,394,0.0,362,317.0
LOC_Os12g34014,1.3392149533940718,454,0.015162111887931354,330,0.0010714285714285717,177,320.3333333333333
LOC_Os01g52260,1.713320771620706,227,0.0134032140456647,362,0.0,373,320.6666666666667
LOC_Os04g54280,1.4718205523465486,342,0.009047645461253903,427,0.0010142749812171302,194,321.0
LOC_Os07g46846,1.3094768993128136,488,0.023120186449966672,174,0.0,301,321.0
LOC_Os02g40110,1.3995440129798227,394,0.01524202548422788,328,0.0,241,321.0
LOC_Os05g33160,1.9527445148137552,166,0.01156307759534179,395,0.0,403,321.3333333333333
LOC_Os06g14050,2.735188573943274,75,0.0079996323834902,442,0.0,449,322.0
LOC_Os04g57860,1.3683780851573908,424,0.009172989907258663,425,0.002927963789125373,119,322.6666666666667
LOC_Os10g37540,1.5910182411557483,277,0.022093354422292415,198,0.0,493,322.6666666666667
LOC_Os12g05860,1.7552334122710733,210,0.010527766778599353,409,0.0,350,323.0
LOC_Os06g10050,1.449246136825993,349,0.012130679651328793,381,0.0,240,323.3333333333333
LOC_Os09g35030,1.3947585383424372,398,0.014504431811219154,340,0.0,237,325.0
LOC_Os02g16250,1.431833752797203,360,0.013742399284506518,353,0.0,262,325.0
LOC_Os11g28530,2.679777556860327,78,0.007856906787613563,443,0.0,455,325.3333333333333
LOC_Os03g63620,1.847827291613887,188,0.010981455248794228,404,0.0,384,325.3333333333333
